YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,1,31,15,446.77
2010,1,31,16,247.48
2010,1,31,17,58.27
2010,1,31,18,0
2010,1,31,19,0
2010,1,31,20,0
2010,1,31,21,0
2010,1,31,22,0
2010,1,31,23,0
2010,2,1,0,0
2010,2,1,1,0
2010,2,1,2,0
2010,2,1,3,0
2010,2,1,4,0
2010,2,1,5,0
2010,2,1,6,7
2010,2,1,7,114.3
2010,2,1,8,317.35
2010,2,1,9,523.37
2010,2,1,10,681.58
2010,2,1,11,765.77
2010,2,1,12,746.97
2010,2,1,13,632.7
2010,2,1,14,576.09
2010,2,1,15,408.71
2010,2,1,16,253.47
2010,2,1,17,57.55
2010,2,1,18,0
2010,2,1,19,0
2010,2,1,20,0
2010,2,1,21,0
2010,2,1,22,0
2010,2,1,23,0
2010,2,2,0,0
2010,2,2,1,0
2010,2,2,2,0
2010,2,2,3,0
2010,2,2,4,0
2010,2,2,5,0
2010,2,2,6,0
2010,2,2,7,94.97
2010,2,2,8,264.62
2010,2,2,9,463.2
2010,2,2,10,625.88
2010,2,2,11,720.1
2010,2,2,12,717.72
2010,2,2,13,680.76
2010,2,2,14,608.41
2010,2,2,15,463.69
2010,2,2,16,245.14
2010,2,2,17,59.75
2010,2,2,18,0
2010,2,2,19,0
2010,2,2,20,0
2010,2,2,21,0
2010,2,2,22,0
2010,2,2,23,0
2010,2,3,0,0
2010,2,3,1,0
2010,2,3,2,0
2010,2,3,3,0
2010,2,3,4,0
2010,2,3,5,0
2010,2,3,6,0
2010,2,3,7,93.23
2010,2,3,8,216.63
2010,2,3,9,414.82
2010,2,3,10,609.86
2010,2,3,11,765.85
2010,2,3,12,677.13
2010,2,3,13,567.38
2010,2,3,14,528.78
2010,2,3,15,375.46
2010,2,3,16,224.09
2010,2,3,17,49.8
2010,2,3,18,0
2010,2,3,19,0
2010,2,3,20,0
2010,2,3,21,0
2010,2,3,22,0
2010,2,3,23,0
2010,2,4,0,0
2010,2,4,1,0
2010,2,4,2,0
2010,2,4,3,0
2010,2,4,4,0
2010,2,4,5,0
2010,2,4,6,6.68
2010,2,4,7,88.94
2010,2,4,8,278.23
2010,2,4,9,483.8
2010,2,4,10,592.9
2010,2,4,11,640.9
2010,2,4,12,484.34
2010,2,4,13,527.76
2010,2,4,14,435.55
2010,2,4,15,292.28
2010,2,4,16,165.71
2010,2,4,17,40.88
2010,2,4,18,0
2010,2,4,19,0
2010,2,4,20,0
2010,2,4,21,0
2010,2,4,22,0
2010,2,4,23,0
2010,2,5,0,0
2010,2,5,1,0
2010,2,5,2,0
2010,2,5,3,0
2010,2,5,4,0
2010,2,5,5,0
2010,2,5,6,6.27
2010,2,5,7,84.53
2010,2,5,8,269.78
2010,2,5,9,453
2010,2,5,10,608.78
2010,2,5,11,717.05
2010,2,5,12,696.77
2010,2,5,13,605.7
2010,2,5,14,541.99
2010,2,5,15,389.57
2010,2,5,16,234.8
2010,2,5,17,52.91
2010,2,5,18,0
2010,2,5,19,0
2010,2,5,20,0
2010,2,5,21,0
2010,2,5,22,0
2010,2,5,23,0
2010,2,6,0,0
2010,2,6,1,0
2010,2,6,2,0
2010,2,6,3,0
2010,2,6,4,0
2010,2,6,5,0
2010,2,6,6,6.18
2010,2,6,7,76.02
2010,2,6,8,238.58
2010,2,6,9,418.8
2010,2,6,10,552.94
2010,2,6,11,615.03
2010,2,6,12,566.91
2010,2,6,13,569.58
2010,2,6,14,488.41
2010,2,6,15,382.88
2010,2,6,16,222.12
2010,2,6,17,48.79
2010,2,6,18,0
2010,2,6,19,0
2010,2,6,20,0
2010,2,6,21,0
2010,2,6,22,0
2010,2,6,23,0
2010,2,7,0,0
2010,2,7,1,0
2010,2,7,2,0
2010,2,7,3,0
2010,2,7,4,0
2010,2,7,5,0
2010,2,7,6,6.66
2010,2,7,7,89.3
2010,2,7,8,251.93
2010,2,7,9,400.46
2010,2,7,10,565.44
2010,2,7,11,648.14
2010,2,7,12,559
2010,2,7,13,579.3
2010,2,7,14,476.18
2010,2,7,15,340.62
2010,2,7,16,201.67
2010,2,7,17,46.02
2010,2,7,18,0
2010,2,7,19,0
2010,2,7,20,0
2010,2,7,21,0
2010,2,7,22,0
2010,2,7,23,0
2010,2,8,0,0
2010,2,8,1,0
2010,2,8,2,0
2010,2,8,3,0
2010,2,8,4,0
2010,2,8,5,0
2010,2,8,6,6.62
2010,2,8,7,82.6
2010,2,8,8,252.76
2010,2,8,9,412.62
2010,2,8,10,602.36
2010,2,8,11,718.94
2010,2,8,12,664.93
2010,2,8,13,662.14
2010,2,8,14,595.16
2010,2,8,15,453.71
2010,2,8,16,235.75
2010,2,8,17,65.69
2010,2,8,18,0
2010,2,8,19,0
2010,2,8,20,0
