YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,9,6,13,772.04
2010,9,6,14,449.55
2010,9,6,15,342.51
2010,9,6,16,188.38
2010,9,6,17,40.27
2010,9,6,18,6.48
2010,9,6,19,0
2010,9,6,20,0
2010,9,6,21,0
2010,9,6,22,0
2010,9,6,23,0
2010,9,7,0,0
2010,9,7,1,0
2010,9,7,2,0
2010,9,7,3,0
2010,9,7,4,0
2010,9,7,5,0
2010,9,7,6,42.59
2010,9,7,7,204.33
2010,9,7,8,407.24
2010,9,7,9,568.24
2010,9,7,10,687.05
2010,9,7,11,804.29
2010,9,7,12,697.77
2010,9,7,13,616.3
2010,9,7,14,575.23
2010,9,7,15,477.62
2010,9,7,16,245.16
2010,9,7,17,89.04
2010,9,7,18,6.91
2010,9,7,19,0
2010,9,7,20,0
2010,9,7,21,0
2010,9,7,22,0
2010,9,7,23,0
2010,9,8,0,0
2010,9,8,1,0
2010,9,8,2,0
2010,9,8,3,0
2010,9,8,4,0
2010,9,8,5,0
2010,9,8,6,40.91
2010,9,8,7,219.83
2010,9,8,8,411.63
2010,9,8,9,529.27
2010,9,8,10,608.94
2010,9,8,11,632.55
2010,9,8,12,728.65
2010,9,8,13,665.44
2010,9,8,14,582.09
2010,9,8,15,466.49
2010,9,8,16,310.69
2010,9,8,17,87.63
2010,9,8,18,6.83
2010,9,8,19,0
2010,9,8,20,0
2010,9,8,21,0
2010,9,8,22,0
2010,9,8,23,0
2010,9,9,0,0
2010,9,9,1,0
2010,9,9,2,0
2010,9,9,3,0
2010,9,9,4,0
2010,9,9,5,0
2010,9,9,6,35.14
2010,9,9,7,187.9
2010,9,9,8,362.15
2010,9,9,9,517.12
2010,9,9,10,637.67
2010,9,9,11,703.09
2010,9,9,12,650.22
2010,9,9,13,572.9
2010,9,9,14,582.83
2010,9,9,15,379.53
2010,9,9,16,225.96
2010,9,9,17,41.02
2010,9,9,18,0
2010,9,9,19,0
2010,9,9,20,0
2010,9,9,21,0
2010,9,9,22,0
2010,9,9,23,0
2010,9,10,0,0
2010,9,10,1,0
2010,9,10,2,0
2010,9,10,3,0
2010,9,10,4,0
2010,9,10,5,0
2010,9,10,6,44.81
2010,9,10,7,201.42
2010,9,10,8,357.31
2010,9,10,9,531.35
2010,9,10,10,663.41
2010,9,10,11,751.05
2010,9,10,12,642.09
2010,9,10,13,554.94
2010,9,10,14,285.45
2010,9,10,15,175.45
2010,9,10,16,99.86
2010,9,10,17,21.99
2010,9,10,18,0
2010,9,10,19,0
2010,9,10,20,0
2010,9,10,21,0
2010,9,10,22,0
2010,9,10,23,0
2010,9,11,0,0
2010,9,11,1,0
2010,9,11,2,0
2010,9,11,3,0
2010,9,11,4,0
2010,9,11,5,0
2010,9,11,6,26.45
2010,9,11,7,127.79
2010,9,11,8,273.55
2010,9,11,9,475.05
2010,9,11,10,502.59
2010,9,11,11,588.18
2010,9,11,12,610.97
2010,9,11,13,576.98
2010,9,11,14,612.59
2010,9,11,15,327.2
2010,9,11,16,181.05
2010,9,11,17,64.88
2010,9,11,18,0
2010,9,11,19,0
2010,9,11,20,0
2010,9,11,21,0
2010,9,11,22,0
2010,9,11,23,0
2010,9,12,0,0
2010,9,12,1,0
2010,9,12,2,0
2010,9,12,3,0
2010,9,12,4,0
2010,9,12,5,0
2010,9,12,6,40.82
2010,9,12,7,198.26
2010,9,12,8,380.71
2010,9,12,9,551.76
2010,9,12,10,700.26
2010,9,12,11,714.97
2010,9,12,12,579.32
2010,9,12,13,594.05
2010,9,12,14,479.39
2010,9,12,15,276.45
2010,9,12,16,119.48
2010,9,12,17,61.35
2010,9,12,18,0
2010,9,12,19,0
2010,9,12,20,0
2010,9,12,21,0
2010,9,12,22,0
2010,9,12,23,0
2010,9,13,0,0
2010,9,13,1,0
2010,9,13,2,0
2010,9,13,3,0
2010,9,13,4,0
2010,9,13,5,0
2010,9,13,6,30.09
2010,9,13,7,147.43
2010,9,13,8,295.84
2010,9,13,9,471.88
2010,9,13,10,572.65
2010,9,13,11,646.8
2010,9,13,12,658.2
2010,9,13,13,509.38
2010,9,13,14,383.42
2010,9,13,15,106.59
2010,9,13,16,57.41
2010,9,13,17,47.19
2010,9,13,18,0
2010,9,13,19,0
2010,9,13,20,0
2010,9,13,21,0
2010,9,13,22,0
2010,9,13,23,0
2010,9,14,0,0
2010,9,14,1,0
2010,9,14,2,0
2010,9,14,3,0
2010,9,14,4,0
2010,9,14,5,0
2010,9,14,6,24.42
2010,9,14,7,130.62
2010,9,14,8,279.09
2010,9,14,9,512.67
2010,9,14,10,586.25
2010,9,14,11,668.09
2010,9,14,12,666.58
2010,9,14,13,490.85
2010,9,14,14,268.18
2010,9,14,15,160.2
2010,9,14,16,74.74
2010,9,14,17,47.54
2010,9,14,18,0
2010,9,14,19,0
2010,9,14,20,0
2010,9,14,21,0
2010,9,14,22,0
2010,9,14,23,0
2010,9,15,0,0
2010,9,15,1,0
2010,9,15,2,0
2010,9,15,3,0
2010,9,15,4,0
2010,9,15,5,0
2010,9,15,6,35.77
2010,9,15,7,209.3
2010,9,15,8,403.92
2010,9,15,9,556.87
2010,9,15,10,686.33
2010,9,15,11,655.67
2010,9,15,12,544.52
2010,9,15,13,568.61
2010,9,15,14,443.43
2010,9,15,15,357.77
