YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,8,25,19,0
2010,8,25,20,0
2010,8,25,21,0
2010,8,25,22,0
2010,8,25,23,0
2010,8,26,0,0
2010,8,26,1,0
2010,8,26,2,0
2010,8,26,3,0
2010,8,26,4,0
2010,8,26,5,0
2010,8,26,6,49.84
2010,8,26,7,215.41
2010,8,26,8,428.11
2010,8,26,9,599.12
2010,8,26,10,737.93
2010,8,26,11,803.82
2010,8,26,12,813.96
2010,8,26,13,770.73
2010,8,26,14,671.06
2010,8,26,15,523.39
2010,8,26,16,331.23
2010,8,26,17,129.87
2010,8,26,18,8.46
2010,8,26,19,0
2010,8,26,20,0
2010,8,26,21,0
2010,8,26,22,0
2010,8,26,23,0
2010,8,27,0,0
2010,8,27,1,0
2010,8,27,2,0
2010,8,27,3,0
2010,8,27,4,0
2010,8,27,5,0
2010,8,27,6,40.51
2010,8,27,7,169.33
2010,8,27,8,323.07
2010,8,27,9,486.79
2010,8,27,10,624.38
2010,8,27,11,676.22
2010,8,27,12,722.55
2010,8,27,13,690.49
2010,8,27,14,548.49
2010,8,27,15,321.15
2010,8,27,16,186.16
2010,8,27,17,61.22
2010,8,27,18,6.74
2010,8,27,19,0
2010,8,27,20,0
2010,8,27,21,0
2010,8,27,22,0
2010,8,27,23,0
2010,8,28,0,0
2010,8,28,1,0
2010,8,28,2,0
2010,8,28,3,0
2010,8,28,4,0
2010,8,28,5,0
2010,8,28,6,20.37
2010,8,28,7,117.52
2010,8,28,8,226.12
2010,8,28,9,343.91
2010,8,28,10,440.16
2010,8,28,11,467.96
2010,8,28,12,499.52
2010,8,28,13,339.65
2010,8,28,14,105.07
2010,8,28,15,60.5
2010,8,28,16,45.08
2010,8,28,17,13.49
2010,8,28,18,4.23
2010,8,28,19,0
2010,8,28,20,0
2010,8,28,21,0
2010,8,28,22,0
2010,8,28,23,0
2010,8,29,0,0
2010,8,29,1,0
2010,8,29,2,0
2010,8,29,3,0
2010,8,29,4,0
2010,8,29,5,0
2010,8,29,6,9.12
2010,8,29,7,90.24
2010,8,29,8,199.11
2010,8,29,9,324.87
2010,8,29,10,432.64
2010,8,29,11,424.52
2010,8,29,12,572.47
2010,8,29,13,612.32
2010,8,29,14,567.27
2010,8,29,15,417.48
2010,8,29,16,239.41
2010,8,29,17,68.48
2010,8,29,18,6.44
2010,8,29,19,0
2010,8,29,20,0
2010,8,29,21,0
